date,keyword,country_code,interest_score,z_score
2019-12-01,criptomonedas,CL,13,-0.93508443580281
2019-12-01,fintech,CL,30,-1.02395321855581
2019-12-01,tarjeta virtual,CL,43,-0.0514555191245968
2019-12-01,Plin,CO,40,-0.508424133335831
2019-12-01,criptomonedas,CO,12,-0.935098394402372
2019-12-01,fintech,CO,39,-1.3659102298898
2019-12-01,Plin,MX,23,-0.847196701409658
2019-12-01,Yape,MX,20,-0.736036095779247
2019-12-01,criptomonedas,MX,12,-1.21093154534776
2019-12-01,fintech,MX,53,-1.42988244578997
2019-12-01,pagos digitales,MX,23,-1.36248135767717
2019-12-01,tarjeta virtual,MX,49,-1.19603333090414
2019-12-01,Plin,PE,6,-1.59838278757332
2019-12-01,Yape,PE,8,-1.30053125106028
2019-12-01,criptomonedas,PE,17,-0.979977170863262
2019-12-01,fintech,PE,56,-1.00710546732324
2019-12-01,tarjeta virtual,PE,17,-1.35812180803769
2020-01-01,Plin,CL,40,-0.348248242044526
2020-01-01,Yape,CL,25,-0.446727172353926
2020-01-01,criptomonedas,CL,15,-0.84240125343539
2020-01-01,fintech,CL,27,-1.17415131290525
2020-01-01,tarjeta virtual,CL,42,-0.114059734059523
2020-01-01,Plin,CO,47,-0.205268086504314
2020-01-01,criptomonedas,CO,15,-0.778533754972617
2020-01-01,fintech,CO,45,-0.872696148528105
2020-01-01,Plin,MX,22,-0.893384422995099
2020-01-01,Yape,MX,16,-0.908163210673522
2020-01-01,criptomonedas,MX,21,-0.768449885006562
2020-01-01,fintech,MX,74,0.228218756476312
2020-01-01,pagos digitales,MX,29,-1.0351270874289
2020-01-01,tarjeta virtual,MX,47,-1.30927643486783
2020-01-01,Plin,PE,22,-0.782781609816379
2020-01-01,Yape,PE,10,-1.2321315526976
2020-01-01,criptomonedas,PE,18,-0.931145543919222
2020-01-01,fintech,PE,78,0.691856066837603
2020-01-01,tarjeta virtual,PE,19,-1.27794154763595
2020-02-01,Plin,CL,45,-0.114158723911465
2020-02-01,criptomonedas,CL,11,-1.02776761817023
2020-02-01,fintech,CL,24,-1.3243494072547
2020-02-01,tarjeta virtual,CL,37,-0.427080808734155
2020-02-01,Plin,CO,35,-0.724964166786914
2020-02-01,criptomonedas,CO,16,-0.726345541829365
2020-02-01,fintech,CO,55,-0.0506726795919542
2020-02-01,Plin,MX,27,-0.662445815067896
2020-02-01,Yape,MX,21,-0.693004317055679
2020-02-01,criptomonedas,MX,19,-0.866779142860162
2020-02-01,fintech,MX,72,0.0703043562604754
2020-02-01,pagos digitales,MX,20,-1.52615849280131
2020-02-01,tarjeta virtual,MX,40,-1.70562729874073
2020-02-01,Plin,PE,19,-0.935706830645805
2020-02-01,Yape,PE,10,-1.2321315526976
2020-02-01,criptomonedas,PE,25,-0.589324155310944
2020-02-01,fintech,PE,83,1.07798368823779
2020-02-01,tarjeta virtual,PE,22,-1.15767115703334
2020-03-01,Plin,CL,37,-0.488701952924362
2020-03-01,Yape,CL,38,0.16970641184395
2020-03-01,criptomonedas,CL,12,-0.981426026986521
2020-03-01,fintech,CL,18,-1.62474559595359
2020-03-01,tarjeta virtual,CL,42,-0.114059734059523
2020-03-01,Plin,CO,46,-0.248576093194531
2020-03-01,criptomonedas,CO,13,-0.88291018125912
2020-03-01,fintech,CO,39,-1.3659102298898
2020-03-01,Plin,MX,29,-0.570070371897014
2020-03-01,Yape,MX,12,-1.0802903255678
2020-03-01,criptomonedas,MX,22,-0.719285256079762
2020-03-01,fintech,MX,62,-0.719267644818707
2020-03-01,pagos digitales,MX,26,-1.19880422255304
2020-03-01,tarjeta virtual,MX,50,-1.1394117789223
2020-03-01,Plin,PE,19,-0.935706830645805
2020-03-01,Yape,PE,10,-1.2321315526976
2020-03-01,criptomonedas,PE,24,-0.638155782254984
2020-03-01,fintech,PE,67,-0.157624700242818
2020-03-01,tarjeta virtual,PE,20,-1.23785141743508
2020-04-01,Plin,CL,43,-0.207794531164689
2020-04-01,criptomonedas,CL,18,-0.703376479884259
2020-04-01,fintech,CL,38,-0.623424966957286
2020-04-01,tarjeta virtual,CL,64,1.26323299450886
2020-04-01,Plin,CO,49,-0.118652073123881
2020-04-01,Yape,CO,10,-0.966683990026595
2020-04-01,billetera digital,CO,10,-1.04396026350134
2020-04-01,criptomonedas,CO,18,-0.621969115542862
2020-04-01,fintech,CO,65,0.771350789344196
2020-04-01,Plin,MX,33,-0.385319485555252
2020-04-01,Yape,MX,24,-0.563908980884973
2020-04-01,criptomonedas,MX,21,-0.768449885006562
2020-04-01,fintech,MX,54,-1.35092524568205
2020-04-01,pagos digitales,MX,26,-1.19880422255304
2020-04-01,tarjeta virtual,MX,61,-0.516574707122022
2020-04-01,Plin,PE,22,-0.782781609816379
2020-04-01,Yape,PE,15,-1.0611323067909
2020-04-01,criptomonedas,PE,24,-0.638155782254984
2020-04-01,fintech,PE,64,-0.389301273082933
2020-04-01,pagos digitales,PE,45,-0.527551246739904
2020-04-01,tarjeta virtual,PE,30,-0.836950115426384
2020-05-01,Plin,CL,45,-0.114158723911465
2020-05-01,Yape,CL,11,-1.11057872456702
2020-05-01,criptomonedas,CL,18,-0.703376479884259
2020-05-01,fintech,CL,22,-1.42448147015433
2020-05-01,tarjeta virtual,CL,87,2.70312993801216
2020-05-01,Plin,CO,57,0.227811980397852
2020-05-01,Yape,CO,15,-0.745945126162255
2020-05-01,criptomonedas,CO,21,-0.465404476113107
2020-05-01,fintech,CO,56,0.0315296673016608
2020-05-01,Plin,MX,31,-0.477694928726133
2020-05-01,Yape,MX,18,-0.822099653226385
2020-05-01,criptomonedas,MX,22,-0.719285256079762
2020-05-01,fintech,MX,67,-0.324481644279116
2020-05-01,pagos digitales,MX,30,-0.98056804238752
2020-05-01,tarjeta virtual,MX,75,0.276127020623784
2020-05-01,Plin,PE,24,-0.680831462596761
2020-05-01,Yape,PE,20,-0.890133060884195
2020-05-01,criptomonedas,PE,26,-0.540492528366905
2020-05-01,fintech,PE,72,0.228502921157374
